Symbol,Date,LTP,High,Low,Open,Quantity,Turnover
AKPL,2017/12/28,341.0,341.0,334.0,340.0,961.0,326761.0
AKPL,2017/12/27,346.0,346.0,326.0,341.0,1892.0,641706.0
AKPL,2017/12/26,341.0,352.0,338.0,348.0,3621.0,1228095.0
AKPL,2017/12/24,348.0,351.0,346.0,349.0,466.0,162913.0
AKPL,2017/12/21,350.0,362.0,346.0,352.0,3925.0,1382750.0
AKPL,2017/12/20,356.0,358.0,351.0,352.0,1458.0,516266.0
AKPL,2017/12/19,358.0,360.0,351.0,360.0,3355.0,1199760.0
AKPL,2017/12/18,360.0,368.0,359.0,365.0,4378.0,1590480.0
AKPL,2017/12/17,360.0,360.0,354.0,354.0,1060.0,379264.0
AKPL,2017/12/14,361.0,370.0,357.0,357.0,187.0,67361.0
AKPL,2017/12/13,364.0,367.0,356.0,356.0,2390.0,866173.0
AKPL,2017/12/12,362.0,373.0,359.0,373.0,2947.0,1070800.0
AKPL,2017/12/11,370.0,374.0,355.0,360.0,1935.0,709695.0
AKPL,2017/12/10,367.0,379.0,365.0,379.0,1943.0,719037.0
AKPL,2017/12/06,372.0,372.0,355.0,355.0,13162.0,4832060.0
AKPL,2017/12/05,356.0,360.0,351.0,351.0,1846.0,655129.0
AKPL,2017/12/04,358.0,372.0,344.0,372.0,6724.0,2410180.0
AKPL,2017/11/30,365.0,365.0,344.0,347.0,5588.0,2003230.0
AKPL,2017/11/29,355.0,369.0,353.0,354.0,9802.0,3533730.0
AKPL,2017/11/28,348.0,358.0,344.0,344.0,695.0,244862.0
AKPL,2017/11/27,351.0,361.0,336.0,347.0,4960.0,1740760.0
AKPL,2017/11/26,354.0,364.0,347.0,353.0,3578.0,1281211.0
AKPL,2017/11/23,353.0,353.0,343.0,343.0,5691.0,1978905.0
AKPL,2017/11/22,343.0,353.0,334.0,351.0,2724.0,938168.0
AKPL,2017/11/21,351.0,351.0,330.0,331.0,7667.0,2608130.0
AKPL,2017/11/20,336.0,338.0,330.0,330.0,2051.0,687878.0
AKPL,2017/11/19,335.0,340.0,326.0,332.0,45210.0,15145567.0
AKPL,2017/11/16,332.0,343.0,327.0,331.0,2407.0,809263.0
AKPL,2017/11/15,337.0,342.0,332.0,342.0,2178.0,734906.0
AKPL,2017/11/14,346.0,348.0,334.0,340.0,8731.0,2989240.0
AKPL,2017/11/13,342.0,342.0,321.0,327.0,2082.0,686167.0
AKPL,2017/11/12,327.0,330.0,324.0,326.0,1146.0,375325.0
AKPL,2017/11/09,326.0,338.0,320.0,320.0,3682.0,1210940.0
AKPL,2017/11/08,322.0,330.0,319.0,330.0,1927.0,621058.0
AKPL,2017/11/07,330.0,330.0,320.0,320.0,982.0,320296.0
AKPL,2017/11/06,326.0,331.0,322.0,325.0,2142.0,704307.0
AKPL,2017/11/05,325.0,325.0,321.0,321.0,1982.0,639535.0
AKPL,2017/11/02,327.0,331.0,323.0,323.0,1048.0,341967.0
AKPL,2017/11/01,330.0,338.0,328.0,337.0,2946.0,970535.0
AKPL,2017/10/31,334.0,335.0,327.0,332.0,1710.0,569647.0
AKPL,2017/10/30,332.0,335.0,330.0,335.0,5677.0,1883470.0
AKPL,2017/10/29,335.0,346.0,333.0,335.0,1668.0,564788.0
AKPL,2017/10/25,338.0,344.0,335.0,338.0,2006.0,684814.0
AKPL,2017/10/24,344.0,346.0,340.0,342.0,779.0,267000.0
AKPL,2017/10/23,342.0,355.0,340.0,351.0,2467.0,852013.0
AKPL,2017/10/22,344.0,351.0,335.0,335.0,6572.0,2243730.0
AKPL,2017/10/18,329.0,329.0,317.0,322.0,215.0,69494.0
AKPL,2017/10/17,328.0,338.0,321.0,321.0,1323.0,437837.0
AKPL,2017/10/16,326.0,336.0,320.0,320.0,389.0,127032.0
AKPL,2017/10/15,325.0,325.0,315.0,315.0,1226.0,397115.0
AKPL,2017/10/12,320.0,324.0,317.0,320.0,4026.0,1292430.0
AKPL,2017/10/11,325.0,326.0,317.0,317.0,277.0,89080.0
AKPL,2017/10/10,323.0,323.0,312.0,312.0,1247.0,393387.0
AKPL,2017/10/09,319.0,319.0,315.0,317.0,2361.0,746894.0
AKPL,2017/10/08,317.0,326.0,315.0,326.0,1817.0,575696.0
AKPL,2017/10/04,332.0,346.0,330.0,346.0,2804.0,939867.0
AKPL,2017/09/26,340.0,341.0,330.0,340.0,3344.0,1125470.0
AKPL,2017/09/25,341.0,343.0,339.0,340.0,1680.0,573374.0
AKPL,2017/09/24,335.0,337.0,328.0,328.0,779.0,259413.0
AKPL,2017/09/20,333.0,336.0,326.0,330.0,1664.0,547030.0
AKPL,2017/09/18,336.0,346.0,334.0,346.0,1968.0,663556.0
AKPL,2017/09/17,340.0,350.0,340.0,345.0,4138.0,1423400.0
AKPL,2017/09/14,342.0,342.0,324.0,324.0,2678.0,893369.0
AKPL,2017/09/13,330.0,335.0,326.0,327.0,2061.0,680865.0
AKPL,2017/09/12,330.0,339.0,326.0,335.0,3991.0,1323100.0
AKPL,2017/09/11,335.0,340.0,326.0,327.0,2600.0,860999.0
AKPL,2017/09/10,332.0,342.0,330.0,342.0,9243.0,3103430.0
AKPL,2017/09/07,348.0,352.0,346.0,346.0,6831.0,2380070.0
AKPL,2017/09/06,350.0,365.0,346.0,367.0,5791.0,2033770.0
AKPL,2017/09/04,360.0,362.0,345.0,355.0,5940.0,2084410.0
AKPL,2017/08/31,354.0,358.0,350.0,360.0,6893.0,2436766.0
AKPL,2017/08/30,360.0,368.0,360.0,368.0,2199.0,797716.0
AKPL,2017/08/28,368.0,391.0,358.0,382.0,6756.0,2544940.0
AKPL,2017/08/24,372.0,372.0,351.0,357.0,4775.0,1718654.0
AKPL,2017/08/23,357.0,362.0,353.0,353.0,10457.0,3735960.0
AKPL,2017/08/22,359.0,380.0,352.0,359.0,2835.0,1030580.0
AKPL,2017/08/21,366.0,366.0,350.0,356.0,6837.0,2427380.0
AKPL,2017/08/20,362.0,370.0,356.0,370.0,5245.0,1903750.0
AKPL,2017/08/17,368.0,375.0,364.0,368.0,13588.0,5010680.0
AKPL,2017/08/16,375.0,387.0,370.0,370.0,5715.0,2157850.0
AKPL,2017/08/15,367.0,387.0,367.0,387.0,5051.0,1879850.0
AKPL,2017/08/13,381.0,400.0,376.0,400.0,5335.0,2032820.0
AKPL,2017/08/10,393.0,400.0,392.0,392.0,8529.0,3360940.0
AKPL,2017/08/09,400.0,405.0,397.0,405.0,11476.0,4595920.0
AKPL,2017/08/07,406.0,410.0,405.0,410.0,3067.0,1247540.0
AKPL,2017/08/06,407.0,411.0,402.0,402.0,3548.0,1447020.0
AKPL,2017/08/03,410.0,418.0,404.0,411.0,3902.0,1598879.0
AKPL,2017/08/02,411.0,416.0,408.0,416.0,4182.0,1717300.0
AKPL,2017/08/01,420.0,420.0,404.0,410.0,6928.0,2825950.0
AKPL,2017/07/31,418.0,423.0,400.0,400.0,8062.0,3311180.0
AKPL,2017/07/30,408.0,418.0,407.0,419.0,11606.0,4751120.0
AKPL,2017/07/27,412.0,414.0,409.0,412.0,3964.0,1628990.0
AKPL,2017/07/26,415.0,416.0,410.0,415.0,6045.0,2497710.0
AKPL,2017/07/25,411.0,423.0,404.0,404.0,3866.0,1598300.0
AKPL,2017/07/24,412.0,423.0,411.0,413.0,9148.0,3787910.0
AKPL,2017/07/23,416.0,425.0,411.0,411.0,5856.0,2430820.0
AKPL,2017/07/20,417.0,422.0,415.0,420.0,5106.0,2133500.0
AKPL,2017/07/19,417.0,435.0,417.0,435.0,10705.0,4508980.0
AKPL,2017/07/18,434.0,441.0,405.0,420.0,9889.0,4189450.0
AKPL,2017/07/17,412.0,416.0,407.0,407.0,7175.0,2944450.0
AKPL,2017/07/16,415.0,415.0,401.0,401.0,5459.0,2208990.0
AKPL,2017/07/13,409.0,413.0,405.0,405.0,2146.0,877888.0
AKPL,2017/07/12,412.0,414.0,410.0,410.0,3492.0,1436440.0
AKPL,2017/07/11,417.0,417.0,408.0,415.0,4924.0,2026750.0
AKPL,2017/07/10,415.0,425.0,401.0,425.0,32236.0,13363000.0
AKPL,2017/07/09,425.0,430.0,408.0,425.0,5553.0,2328785.0
AKPL,2017/07/06,425.0,425.0,409.0,409.0,1898.0,789357.0
AKPL,2017/07/05,417.0,417.0,405.0,406.0,3711.0,1510060.0
AKPL,2017/07/04,409.0,412.0,400.0,400.0,1815.0,739723.0
AKPL,2017/07/03,406.0,418.0,405.0,408.0,5055.0,2064920.0
AKPL,2017/07/02,410.0,420.0,405.0,419.0,3952.0,1623190.0
AKPL,2017/06/28,421.0,425.0,417.0,421.0,1161.0,488843.0
AKPL,2017/06/27,429.0,439.0,427.0,439.0,2938.0,1261900.0
AKPL,2017/06/25,437.0,439.0,418.0,418.0,5526.0,2368400.0
AKPL,2017/06/22,418.0,420.0,415.0,420.0,2909.0,1215740.0
AKPL,2017/06/21,416.0,416.0,406.0,410.0,8927.0,3674920.0
AKPL,2017/06/20,412.0,421.0,400.0,400.0,4359.0,1781590.0
AKPL,2017/06/19,405.0,418.0,405.0,413.0,4938.0,2024150.0
AKPL,2017/06/18,418.0,435.0,415.0,434.0,2107.0,885873.0
AKPL,2017/06/15,434.0,434.0,417.0,423.0,6410.0,2722550.0
AKPL,2017/06/14,430.0,430.0,415.0,415.0,4893.0,2054570.0
AKPL,2017/06/13,422.0,430.0,416.0,416.0,7280.0,3067320.0
AKPL,2017/06/12,422.0,435.0,416.0,422.0,10653.0,4516730.0
AKPL,2017/06/11,430.0,445.0,429.0,445.0,13870.0,6019820.0
AKPL,2017/06/08,447.0,449.0,437.0,449.0,9330.0,4126730.0
AKPL,2017/06/07,447.0,455.0,446.0,448.0,11678.0,5241940.0
AKPL,2017/06/06,457.0,463.0,441.0,441.0,5992.0,2719010.0
AKPL,2017/06/05,450.0,455.0,443.0,445.0,5406.0,2419730.0
AKPL,2017/06/04,450.0,459.0,444.0,452.0,8662.0,3914710.0
AKPL,2017/06/01,460.0,462.0,454.0,460.0,7009.0,3210840.0
AKPL,2017/05/31,460.0,469.0,451.0,460.0,8876.0,4058962.0
